model;year;engineSize;transmission;mileage;fuelType;tax;mpg;price
1;2016;1.2;1;24410;4;125;54.3;8495
1;2019;1.0;1;13600;4;145;58.9;13895
2;2018;2.0;1;21456;1;145;67.3;18298
2;2015;1.5;1;31512;1;0;74.3;9198
1;2016;1.0;1;11843;4;0;65.7;10798
1;2016;1.0;1;31373;4;0;65.7;8998
4;2018;1.5;1;7796;1;145;54.3;18498
4;2017;2.0;1;26597;1;145;54.3;13498
4;2017;1.5;1;15978;1;30;64.2;14998
4;2017;1.5;2;13265;4;240;38.2;13998
5;2016;1.0;1;20491;4;125;52.3;9998
11;2017;1.0;1;16310;4;125;50.4;10998
2;2017;2.0;1;14557;4;145;41.5;17698
2;2017;1.0;3;30917;4;125;51.4;11498
2;2017;1.5;1;22153;1;145;74.3;12798
6;2015;1.0;1;31743;4;30;55.4;8698
4;2019;2.0;1;13673;1;145;47.9;19495
1;2018;1.0;1;25776;4;145;65.7;9995
2;2016;1.5;1;30923;1;0;74.3;10995
4;2017;1.5;1;24504;1;150;64.2;13998
1;2017;1.0;1;6568;4;145;62.8;11998
11;2016;1.5;1;42960;1;30;61.4;8998
4;2018;1.5;1;5117;1;145;54.3;16698
5;2016;1.0;1;31736;4;125;53.3;8998
1;2015;1.0;1;19212;4;0;65.7;7998
1;2018;1.0;1;12426;4;145;65.7;12495
8;2017;1.2;1;12872;4;145;57.7;7995
3;2020;1.0;1;4111;4;145;50.4;21995
4;2018;2.0;1;34690;1;145;60.1;16995
1;2018;1.0;1;32168;4;145;65.7;11995
4;2019;2.0;1;11312;1;145;47.9;19995
1;2017;1.0;1;31559;4;145;65.7;8995
8;2017;1.2;1;23000;4;145;57.7;8295
5;2018;1.0;1;6442;4;145;54.3;14698
1;2016;1.0;3;29590;4;0;57.7;10498
2;2018;1.0;1;17030;4;145;57.7;14495
2;2016;1.0;1;22493;4;20;60.1;8995
2;2016;2.0;1;29600;1;20;67.3;15995
6;2016;2.0;3;26500;1;125;58.9;10995
9;2017;2.0;1;14000;1;200;44.8;19995
6;2013;1.6;1;34783;1;30;61.4;8295
2;2015;1.6;1;56655;1;20;67.3;7995
4;2019;2.0;1;16000;1;150;47.9;19995
7;2015;1.5;1;30753;1;0;78.5;9995
10;2018;1.0;1;1030;4;145;47.9;13495
6;2017;1.0;1;7817;4;145;55.4;12995
2;2018;1.0;1;9781;4;145;60.1;12995
5;2018;1.0;1;17241;4;145;54.3;12998
11;2015;1.6;1;28309;1;125;58.9;10298
1;2017;1.0;1;50599;4;0;65.7;10498
2;2018;1.5;3;37880;1;150;74.3;11298
4;2016;2.0;1;56888;1;125;60.1;10698
2;2018;1.0;1;10500;4;145;60.1;15995
13;2014;1.6;3;50800;4;160;44.1;6995
1;2019;1.0;1;6700;4;145;58.9;13950
1;2017;1.0;1;31800;4;150;65.7;10650
1;2016;1.2;1;20700;4;125;54.3;7995
2;2016;1.5;1;29900;1;0;74.3;11495
4;2018;2.0;1;32858;1;145;54.3;16995
1;2018;1.0;1;31593;4;145;65.7;11995
2;2015;1.5;1;13791;4;125;51.4;10995
4;2019;2.0;1;12034;1;145;47.9;20495
2;2018;2.0;1;10923;1;145;67.3;19995
4;2019;2.0;1;10171;1;145;38.2;19995
2;2016;1.5;1;30923;1;0;74.3;10995
5;2019;1.0;1;2291;4;145;52.3;18995
2;2017;1.5;1;23469;4;125;51.4;11995
4;2017;2.0;1;13626;1;125;60.1;16998
1;2016;1.2;1;35180;4;125;54.3;7398
1;2019;1.0;1;17708;4;145;58.9;11498
1;2019;1.0;1;9957;4;145;58.9;13998
2;2019;1.0;1;4542;4;145;60.1;16698
7;2016;1.5;1;38358;1;0;78.5;9998
2;2015;2.0;1;25878;1;20;67.3;12998
5;2016;1.5;3;18325;4;160;44.8;9998
2;2017;1.0;1;9338;4;145;60.1;12498
5;2018;1.5;1;7133;1;145;58.9;14998
2;2017;1.0;1;42002;4;20;60.1;10498
4;2017;1.5;2;3700;4;145;38.2;16995
2;2019;1.0;1;5600;4;145;60.1;15495
1;2015;1.0;1;17288;4;0;65.7;9495
13;2013;1.6;1;42996;1;20;70.6;5995
2;2014;1.0;1;47566;4;30;56.5;7498
1;2017;1.0;1;4262;4;0;65.7;11798
1;2017;1.0;1;10125;4;145;65.7;10998
2;2017;1.5;2;17028;4;150;46.3;14998
1;2017;1.2;1;12753;4;145;54.3;8998
2;2016;2.0;1;24895;1;20;67.3;13998
2;2017;2.0;1;9066;4;145;41.5;17998
1;2019;1.5;1;3292;4;145;40.3;18998
4;2013;2.0;3;48130;1;200;45.6;9198
4;2015;2.0;1;27513;1;145;54.3;14498
2;2017;2.0;1;32511;4;150;41.5;14998
1;2016;1.2;1;21888;4;125;54.3;8498
1;2019;1.0;1;11130;4;145;58.9;13995
2;2017;2.0;1;14441;4;145;41.5;18498
2;2018;1.0;1;13401;4;145;60.1;13998
1;2019;1.0;1;10567;4;145;58.9;12798
1;2019;1.0;1;7872;4;145;58.9;14698
8;2017;1.2;1;10641;4;30;57.7;7698
5;2018;1.0;1;10222;4;145;54.3;12498
1;2017;1.0;1;28519;4;20;62.8;9998
4;2017;2.0;1;51772;1;125;60.1;13998
1;2016;1.0;2;7350;4;0;57.7;9500
8;2018;1.2;1;12231;4;145;47.9;8195
4;2019;1.5;2;5354;4;150;31.0;21498
2;2017;2.0;1;19525;4;145;41.5;17998
5;2018;1.0;1;11922;4;145;54.3;14498
6;2016;1.5;1;16984;1;20;68.9;9998
1;2016;1.2;1;16070;4;125;54.3;7998
2;2018;1.0;1;26648;4;145;61.4;10998
1;2017;1.0;1;19140;4;145;62.8;10998
2;2016;1.5;1;26399;1;0;74.3;9998
1;2013;1.2;1;53545;4;30;54.3;5498
1;2017;1.0;1;25491;4;0;65.7;9298
1;2014;1.0;1;31359;4;0;65.7;7298
2;2016;1.5;1;51656;1;0;74.3;8498
4;2016;2.0;3;11221;1;145;54.3;17698
4;2017;2.0;1;23356;1;145;60.1;14498
5;2018;1.0;1;15267;4;145;53.3;12898
13;2017;1.5;1;41294;1;0;74.4;7998
6;2018;1.0;1;7993;4;145;49.6;12198
5;2017;1.0;1;30207;4;145;53.3;9698
1;2016;1.0;1;19815;4;0;65.7;8798
4;2015;2.0;1;43717;1;145;54.3;14298
2;2018;1.0;1;4534;4;145;58.9;15798
1;2017;1.0;1;9148;4;145;65.7;10298
15;2014;1.2;1;22609;4;30;57.7;4898
2;2016;1.5;1;15510;1;0;74.3;10298
1;2017;1.0;1;20347;4;0;65.7;9998
4;2018;1.5;1;3044;4;145;39.2;16698
1;2017;1.2;1;5233;4;125;54.3;8998
10;2015;1.6;1;28359;1;125;60.1;8998
2;2017;1.0;3;12244;4;125;51.4;12498
1;2018;1.0;1;17918;4;145;65.7;12498
12;2020;2.0;3;4623;1;145;43.5;34498
5;2017;1.5;1;16770;4;145;44.8;9298
2;2017;1.0;1;25459;4;145;60.1;10900
5;2017;1.0;1;23913;4;125;53.3;9998
1;2018;1.0;1;9901;4;150;65.7;12998
2;2016;1.0;3;15006;4;125;51.4;10998
2;2017;2.0;1;19593;4;145;41.5;15500
4;2017;1.5;3;23027;1;145;58.9;16200
6;2016;1.5;3;13580;1;20;64.2;10500
2;2015;2.0;1;32000;1;20;67.3;13200
2;2019;1.0;1;15365;4;145;60.1;18698
2;2019;1.5;1;7924;1;145;80.7;16998
1;2017;1.0;1;10721;4;145;65.7;9998
5;2017;1.0;1;25939;4;145;53.3;9498
1;2019;1.0;1;3265;4;145;58.9;17498
2;2019;1.0;2;11045;4;145;41.5;15998
5;2020;1.0;1;250;4;145;51.4;17998
13;2013;1.4;1;44901;4;145;47.1;5698
2;2017;1.0;1;22001;4;20;60.1;9998
1;2020;1.0;1;4563;4;145;54.3;17298
1;2019;1.0;1;12236;4;145;55.4;16998
4;2019;2.0;1;7584;1;145;39.2;23998
1;2013;1.0;1;41599;4;0;65.7;6498
10;2017;1.0;1;10373;4;145;54.3;12498
1;2013;1.0;1;79300;4;0;65.7;4998
6;2017;1.0;1;12982;4;30;55.4;11498
2;2017;1.5;1;24386;1;0;74.3;11298
5;2017;1.5;1;18209;1;30;64.2;9298
5;2018;1.0;1;9796;4;145;54.3;12998
1;2018;1.0;1;9428;4;145;62.8;14498
16;2016;2.0;1;30528;1;125;56.5;18498
6;2016;1.0;1;41772;4;30;55.4;8498
1;2015;1.0;1;15673;4;0;65.7;8298
2;2015;1.5;1;47219;1;0;74.3;8498
2;2018;1.0;1;16081;4;150;57.7;12998
2;2019;1.0;1;10476;4;145;60.1;16998
1;2016;1.0;1;16647;4;0;65.7;9998
4;2017;2.0;1;41457;1;150;54.3;13698
2;2017;1.0;3;4735;4;125;51.4;13998
5;2016;1.0;1;24045;4;125;53.3;9498
5;2019;1.0;1;6500;4;145;51.4;15984
5;2017;1.5;1;60190;4;160;44.8;8489
1;2017;1.5;1;27000;1;0;78.5;9995
1;2017;1.0;1;32538;4;0;65.7;8498
4;2016;2.0;1;36345;1;150;54.3;13498
2;2016;1.0;1;43623;4;20;61.4;8998
4;2013;2.0;3;58500;1;200;45.6;9998
4;2017;2.0;1;15729;1;145;54.3;17498
1;2018;1.0;1;7892;4;145;65.7;9998
1;2017;1.6;1;24725;4;145;47.9;11990
2;2019;1.5;1;7000;1;145;80.7;16899
5;2019;1.0;1;3500;4;145;51.4;15984
5;2019;1.0;1;4500;4;145;51.4;15984
5;2019;1.0;1;4000;4;145;51.4;15984
5;2019;1.5;1;4889;1;145;68.9;13998
4;2017;2.0;1;20633;1;150;54.3;17994
16;2016;2.0;3;47937;1;165;51.4;17489
4;2018;2.0;3;28500;1;145;54.3;19899
1;2014;1.2;1;85000;4;30;54.3;4699
5;2017;1.0;1;23000;4;125;53.3;9949
6;2017;1.0;1;9995;4;145;55.4;11498
6;2017;1.0;1;12626;4;30;55.4;10898
6;2018;1.0;1;7320;4;145;55.4;12998
6;2019;1.0;1;23394;4;145;48.7;13498
6;2017;1.5;1;12932;1;20;68.9;9998
2;2019;2.0;2;22246;1;150;64.2;18998
1;2019;1.1;1;5530;4;150;48.7;11798
1;2019;1.1;1;4590;4;150;48.7;11798
1;2017;1.0;1;28479;4;0;65.7;8498
4;2013;2.0;1;67895;1;200;47.9;8998
2;2019;1.0;1;6249;4;145;60.1;14799
2;2019;1.0;1;8560;4;145;60.1;14799
17;2020;5.0;2;3500;4;145;22.1;42489
4;2017;1.5;1;9940;4;145;45.6;17498
2;2019;1.0;1;4930;4;145;60.1;16498
2;2018;2.0;1;12011;4;145;41.5;19698
1;2016;1.2;1;23053;4;125;54.3;8498
2;2016;2.0;1;17589;4;200;41.5;16998
2;2019;1.0;1;7000;4;145;58.9;14998
18;2019;1.5;1;3500;1;145;61.4;19999
4;2019;2.0;2;5500;1;145;47.9;20999
2;2019;1.0;1;7000;4;145;60.1;14998
2;2019;1.0;1;7000;4;145;58.9;14998
5;2019;1.5;1;5000;1;145;68.9;13998
4;2017;2.0;1;33026;1;145;60.1;13898
1;2016;1.0;1;8560;4;0;65.7;11498
2;2018;2.0;1;16548;4;145;41.5;19698
2;2017;1.5;1;49485;1;0;74.3;10498
7;2017;2.0;3;14569;1;145;53.3;17498
4;2015;2.0;1;60151;1;145;54.3;12498
2;2017;1.0;1;9148;4;145;61.4;11498
1;2017;1.0;1;13548;4;0;65.7;10998
7;2019;2.0;2;7337;3;140;47.1;22998
1;2015;1.2;1;6649;4;125;54.3;8498
2;2017;1.0;1;7690;4;150;60.1;11998
1;2019;1.1;1;3396;4;150;48.7;11898
1;2019;1.0;1;15766;4;145;58.9;11498
1;2019;1.0;1;7349;4;145;58.9;13298
6;2016;1.5;1;36860;1;20;68.9;9698
5;2018;1.5;1;59498;1;145;68.9;10498
4;2015;2.0;1;17367;1;125;60.1;10998
1;2017;1.1;1;14403;4;145;64.2;9598
2;2019;1.0;1;20647;4;145;60.1;16998
1;2019;1.0;1;13351;4;145;58.9;13498
1;2016;1.2;1;34804;4;125;54.3;6998
4;2017;2.0;1;38113;1;125;60.1;15498
1;2018;1.1;1;27399;4;145;64.2;9949
6;2018;1.5;1;2455;1;145;68.9;12998
14;2016;2.0;2;52000;1;200;47.9;20799
17;2020;2.3;2;3500;4;145;30.7;38489
1;2018;1.1;1;35417;4;145;64.2;9489
1;2019;1.0;3;11982;4;145;48.7;13949
1;2018;1.0;1;28138;4;145;56.5;10990
4;2017;2.0;1;34805;1;145;54.3;13489
2;2015;1.6;1;64612;1;20;67.3;7994
1;2018;1.0;1;19665;4;145;60.1;11489
4;2018;1.5;1;17500;1;150;64.2;15699
2;2020;1.5;1;4000;1;145;74.3;19998
2;2020;1.5;1;5000;1;145;74.3;19489
2;2019;1.0;1;7000;4;145;58.9;14998
5;2016;1.5;1;26445;1;30;64.2;9199
6;2017;1.5;1;26445;1;20;68.9;10489
5;2018;1.5;1;2922;1;145;64.2;11489
17;2018;2.3;2;3000;4;145;28.8;29998
17;2018;5.0;2;6250;4;145;23.5;31498
2;2018;1.0;1;6691;4;145;61.4;11999
18;2018;1.5;2;9486;1;145;56.6;15990
2;2019;1.5;2;8703;4;145;40.9;16998
5;2019;1.5;1;5636;1;145;68.9;15489
12;2019;2.0;1;8224;1;145;56.5;22489
12;2019;2.0;1;4000;1;145;56.5;22489
1;2015;1.5;1;55898;1;0;78.5;5998
2;2017;1.0;1;28001;4;145;60.1;10998
4;2014;2.0;1;36052;1;160;47.9;11498
17;2016;5.0;3;42086;4;570;23.5;24999
4;2017;2.0;1;34673;1;125;60.1;15298
14;2018;2.0;1;22068;1;145;48.7;19498
2;2019;1.0;1;19936;4;145;60.1;16998
18;2017;1.5;1;4856;1;145;61.4;13998
13;2017;1.6;3;1397;4;165;44.1;11298
2;2017;1.5;2;21649;4;145;46.3;13398
2;2017;2.0;1;10345;4;145;41.5;17798
4;2018;1.5;1;14960;1;145;64.2;14998
2;2015;2.0;1;35689;4;205;41.5;13998
5;2017;1.5;1;31998;4;145;44.8;9189
1;2018;1.0;1;7200;4;145;65.7;10399
14;2017;2.0;2;27146;1;145;47.9;23899
1;2013;1.2;1;66937;4;30;54.3;5330
5;2019;1.0;1;5099;4;145;51.4;15985
1;2015;1.2;1;11092;4;125;54.3;7485
4;2019;1.5;2;6000;4;145;29.1;21999
1;2017;1.0;1;23634;4;150;65.7;10850
4;2019;2.0;3;9931;1;145;38.7;23250
1;2016;1.0;1;22633;4;0;65.7;7999
8;2018;1.2;1;9355;4;145;57.7;7999
4;2013;2.0;1;78170;1;200;47.9;7999
2;2016;1.0;1;13480;4;20;60.1;9699
17;2019;5.0;2;5000;4;145;22.6;39998
1;2017;1.2;1;15060;4;125;54.3;8500
1;2016;1.0;1;18912;4;0;65.7;9998
2;2019;1.0;1;6992;4;145;60.1;15995
1;2017;1.0;1;17766;4;145;65.7;11495
1;2019;1.0;1;8725;4;145;58.9;14698
1;2016;1.0;1;6820;4;0;65.7;9998
4;2013;2.0;1;29326;1;200;47.9;9498
1;2017;1.0;3;11235;4;0;57.7;10698
4;2016;2.0;1;38687;1;145;54.3;13499
4;2017;2.0;1;15005;1;145;54.3;15999
4;2017;2.0;1;14224;1;145;54.3;17299
2;2019;1.0;1;20205;4;150;58.9;14198
5;2016;1.0;1;13093;4;125;52.3;10898
1;2019;1.0;3;1434;4;150;48.7;17298
13;2013;1.6;3;44582;4;165;44.1;5998
7;2015;2.0;1;55621;1;30;64.2;9998
8;2017;1.2;1;21203;4;30;57.7;6998
2;2017;2.0;1;24498;1;145;67.3;16698
2;2018;1.0;1;3124;4;145;60.1;17298
4;2017;2.0;1;31073;1;125;60.1;15498
4;2017;2.0;1;6345;1;145;54.3;14298
6;2016;1.5;1;26138;1;20;68.9;9998
4;2019;2.0;1;593;1;145;47.9;22998
2;2018;1.0;1;11654;4;145;61.4;11598
1;2018;1.0;1;17532;4;145;65.7;10498
5;2017;1.5;1;36124;4;160;44.8;8698
2;2017;2.0;1;13558;4;200;41.5;17498
5;2018;1.5;1;13000;1;145;67.3;12499
8;2018;1.2;1;7812;4;145;47.9;9250
2;2017;2.0;1;28113;1;145;67.3;16250
5;2017;1.0;1;24130;4;150;52.3;9999
2;2017;1.0;1;23973;4;150;60.1;10999
4;2019;2.0;1;11858;1;145;38.2;18494
1;2019;1.0;3;26799;4;145;48.7;13489
1;2014;1.0;1;35084;4;0;65.7;6995
1;2018;1.0;1;12080;4;150;65.7;11995
1;2017;1.0;1;9621;4;145;65.7;10498
2;2017;1.0;1;13300;4;145;60.1;11300
1;2018;1.0;1;14024;4;145;62.8;11800
2;2017;1.0;1;17668;4;145;60.1;10800
1;2016;1.0;1;43121;4;0;65.7;8300
2;2018;2.0;1;14682;4;145;41.5;18499
2;2014;1.0;1;53500;4;30;56.5;6800
4;2018;1.5;1;15513;4;145;45.6;17000
1;2017;1.5;1;16701;1;0;78.5;8998
1;2014;1.2;1;51892;4;30;54.3;5698
5;2017;1.5;1;20648;4;160;44.8;8998
4;2016;2.0;1;38206;1;145;54.3;14998
4;2017;2.0;1;13692;1;145;54.3;18500
4;2019;1.5;1;12287;4;145;39.2;19298
4;2014;2.0;1;49989;1;160;47.9;10798
2;2019;1.0;1;12699;4;145;60.1;15998
1;2015;1.0;1;36700;4;0;65.7;7298
5;2017;1.0;1;25013;4;150;53.3;10298
1;2017;1.0;1;16505;4;0;65.7;10698
1;2019;1.0;1;5887;4;145;58.9;13998
4;2013;2.0;1;63508;1;145;53.3;8298
2;2016;1.5;1;36087;1;0;74.3;8998
6;2016;1.0;1;11117;4;30;55.4;11298
10;2016;1.5;1;17197;1;30;64.2;10498
4;2013;2.0;1;54000;1;145;53.3;8995
1;2015;1.0;1;27541;4;0;65.7;7895
2;2018;2.0;1;14682;4;145;41.5;18390
8;2018;1.2;1;9662;4;145;57.7;7795
2;2017;1.0;1;22727;4;20;60.1;10795
2;2019;1.5;2;6269;1;145;74.3;18298
13;2015;1.6;1;9708;1;20;70.6;7698
4;2017;2.0;1;18075;1;145;54.3;17698
4;2017;2.0;1;24885;1;145;54.3;16998
6;2018;1.0;1;3074;4;145;55.4;12698
1;2016;1.5;1;22141;1;0;78.5;10698
4;2013;2.0;3;43938;1;205;45.6;9998
4;2017;2.0;1;6038;1;150;54.3;14498
1;2017;1.0;1;20277;4;0;65.7;8998
6;2017;1.5;1;15297;1;20;68.9;11998
2;2019;1.0;1;11426;4;150;58.9;14000
5;2019;1.0;1;2951;4;150;52.3;16250
1;2017;1.0;1;28186;4;0;65.7;9700
4;2013;1.6;1;38629;4;200;42.8;9998
10;2017;1.5;1;14161;1;30;64.2;10998
16;2016;2.0;1;27716;1;125;56.5;15498
13;2013;1.5;1;41144;1;20;68.9;5489
4;2019;1.5;1;9695;1;145;54.3;18999
1;2016;1.6;1;79125;4;145;47.9;8449
6;2016;1.6;1;46040;1;30;61.4;8699
6;2017;1.5;1;37972;1;20;68.9;10489
4;2017;1.5;1;36394;1;145;64.2;12489
4;2017;1.5;1;78636;1;145;64.2;13698
2;2018;2.0;1;21167;1;145;67.3;18498
13;2015;1.5;1;36140;1;0;74.4;7298
2;2017;1.0;1;13861;4;145;60.1;9998
4;2017;2.0;1;22439;1;145;54.3;17498
12;2017;2.0;1;42500;1;125;51.4;18999
5;2017;1.0;1;29500;4;145;52.3;9489
14;2017;2.0;2;41000;1;145;48.7;20994
6;2018;1.5;1;6484;1;145;68.9;11998
1;2014;1.2;1;39223;4;30;54.3;6250
1;2014;1.5;1;64327;1;0;76.4;5950
2;2017;1.5;1;13338;1;0;74.3;10900
2;2017;1.0;1;15121;4;20;58.9;11200
2;2017;1.0;1;38541;4;20;60.1;9250
1;2018;1.0;1;9542;4;145;65.7;10300
6;2019;1.0;1;3629;4;145;49.6;13000
2;2016;1.5;1;82616;1;0;74.3;7000
1;2015;1.0;1;21261;4;0;65.7;9200
12;2019;2.0;1;10023;1;150;54.3;24995
1;2016;1.0;1;22919;4;0;65.7;8298
6;2017;1.5;1;41697;1;20;68.9;9298
2;2019;1.0;1;18697;4;145;60.1;16698
2;2019;2.0;1;5003;1;145;70.6;23698
2;2019;1.5;1;6233;1;145;74.3;20398
1;2016;1.0;1;19884;4;0;65.7;9698
4;2018;1.5;1;13734;4;145;39.2;17998
1;2019;1.0;1;12232;4;145;58.9;13698
2;2016;1.0;1;21243;4;20;60.1;9998
1;2016;1.2;1;31107;4;125;54.3;7298
2;2013;1.6;1;64292;1;20;67.3;5698
4;2014;2.0;1;68055;1;150;53.3;8998
1;2018;1.0;1;23200;4;150;65.7;12998
7;2016;2.0;1;25800;1;30;64.2;12498
9;2019;2.0;1;5100;1;145;31.7;20990
9;2019;2.0;1;100;1;145;30.1;29999
5;2019;1.5;1;5636;1;145;68.9;15489
2;2019;1.5;1;4500;1;145;80.7;15998
18;2019;1.5;1;3500;1;145;61.4;19999
2;2016;1.5;1;61379;1;0;74.3;8489
1;2018;1.1;1;3012;4;145;55.4;9490
2;2017;1.5;1;11292;4;125;51.4;12490
8;2017;1.2;1;19285;4;150;57.7;6490
2;2016;2.0;1;33352;4;205;41.5;14790
2;2017;1.5;1;17998;1;0;74.3;12498
2;2018;2.0;1;11578;1;150;67.3;18998
2;2015;1.6;1;29577;1;20;67.3;9598
2;2017;1.5;1;27704;1;145;74.3;10498
1;2015;1.2;1;19001;4;125;54.3;7998
10;2016;1.5;1;39460;1;30;64.2;9998
2;2019;1.5;1;13325;1;145;74.3;16250
2;2019;1.5;2;14464;1;145;54.3;18450
2;2018;1.0;1;19223;4;145;61.4;9950
8;2019;1.2;1;906;4;145;43.5;9950
8;2019;1.2;1;2520;4;145;43.5;9950
8;2019;1.2;1;1196;4;145;43.5;9950
1;2015;1.0;1;19429;4;0;65.7;8498
13;2014;1.0;1;69078;4;30;57.7;5998
5;2017;1.0;1;37560;4;145;53.3;9998
2;2016;1.0;1;3155;4;20;61.4;9998
2;2019;1.0;1;14206;4;150;60.1;16998
2;2017;2.0;2;30393;1;145;61.4;16998
4;2014;2.0;1;41711;1;145;53.3;11198
2;2019;1.5;1;14316;1;150;80.7;14498
1;2016;1.2;1;21456;4;125;54.3;7998
1;2016;1.0;1;20682;4;0;65.7;9998
2;2019;1.5;1;12027;1;145;74.3;17998
13;2014;1.6;1;36727;1;20;70.6;6498
4;2019;1.5;2;8757;4;145;28.8;19998
5;2016;1.5;1;28670;1;30;64.2;8698
1;2017;1.5;1;21041;1;0;78.5;10698
5;2018;1.0;1;4223;4;145;54.3;13698
1;2019;1.0;1;9007;4;145;58.9;13498
1;2016;1.2;1;11457;4;125;54.3;8498
1;2014;1.2;1;39944;4;30;54.3;6298
1;2019;1.1;1;3578;4;150;48.7;11698
4;2017;2.0;1;21167;1;150;54.3;13998
1;2016;1.6;3;31976;4;145;47.9;8498
2;2018;1.0;1;10149;4;145;57.7;13998
12;2016;2.0;1;50364;1;125;56.5;14498
1;2018;1.0;1;16678;4;145;58.9;11950
1;2019;1.1;1;1394;4;145;55.4;11395
18;2018;1.5;2;9486;1;145;56.6;15990
